ccode,opt_price,fut_price,strike,dfactor,call_put,opt_exp,fut_exp,rec_date
2EH21,61.5,99.72,99.125,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,49.5,99.72,99.25,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,38,99.72,99.375,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,27,99.72,99.5,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,17.5,99.72,99.625,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,9.5,99.72,99.75,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,5,99.72,99.875,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,3,99.72,100,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,2,99.72,100.125,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,1.5,99.72,100.25,0.99765,1,2021-03-12,2023-03-13,2020-08-31
2EH21,1,99.72,99.125,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,1.5,99.72,99.25,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,2.5,99.72,99.375,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,4,99.72,99.5,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,7,99.72,99.625,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,11.5,99.72,99.75,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,19.5,99.72,99.875,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,30,99.72,100,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,41.5,99.72,100.125,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
2EH21,53.5,99.72,100.25,0.99765,-1,2021-03-12,2023-03-13,2020-08-31
1EU21,56.25,99.78,99.25,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,44.75,99.78,99.375,0.99342,1,2021-09-10,2022-09-19,2020-09-03
1EU21,33.5,99.78,99.5,0.99342,1,2021-09-10,2022-09-19,2020-09-03
